"OCCUPANCY_DATE","PROGRAM_MODEL","CAPACITY_TYPE","OCCUPANCY_RATE_ROOMS","OCCUPANCY_RATE_BEDS","month"
2023-01-01,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",96.43,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,94.29,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,97.73,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,96.77,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,98,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",94.56,NA,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,98,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,76,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-01,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,54.55,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-01,"Transitional","Room Based Capacity",96,NA,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,98.21,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",95.83,NA,2023-01-01
2023-01-01,"Emergency","Bed Based Capacity",NA,97.3,2023-01-01
2023-01-01,"Emergency","Room Based Capacity",96.15,NA,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-01,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",96.43,NA,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,97.73,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,95.7,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,98,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,98.25,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,95.52,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,96.61,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",93.88,NA,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,98,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,72,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,98.33,2023-01-01
2023-01-02,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,54.55,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-02,"Transitional","Room Based Capacity",96,NA,2023-01-01
2023-01-02,"Emergency","Bed Based Capacity",NA,97.83,2023-01-01
2023-01-02,"Emergency","Room Based Capacity",96.15,NA,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-02,"Transitional","Bed Based Capacity",NA,82.05,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",99.32,NA,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",98.44,NA,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",98.68,NA,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,97.73,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",96.67,NA,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,96.77,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,98.31,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,90,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",95.31,NA,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",93.88,NA,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,98,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,96.15,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,94.44,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,97.3,2023-01-01
2023-01-03,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,98.57,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,54.55,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-03,"Transitional","Room Based Capacity",98.67,NA,2023-01-01
2023-01-03,"Transitional","Room Based Capacity",92,NA,2023-01-01
2023-01-03,"Emergency","Room Based Capacity",96.15,NA,2023-01-01
2023-01-03,"Emergency","Bed Based Capacity",NA,76,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-03,"Transitional","Bed Based Capacity",NA,82.05,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",98.44,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",97.37,NA,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",97.5,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,91.43,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,97.73,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,97.85,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,98.77,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,90,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",93.88,NA,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,94,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,92,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,88,2023-01-01
2023-01-04,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,88.24,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,54.55,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,96.97,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,97.96,2023-01-01
2023-01-04,"Emergency","Room Based Capacity",96.15,NA,2023-01-01
2023-01-04,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-04,"Transitional","Bed Based Capacity",NA,82.05,2023-01-01
2023-01-05,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-05,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,91.43,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,97.73,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,97.85,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,93.33,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-05,"Emergency","Room Based Capacity",93.2,NA,2023-01-01
2023-01-05,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,94,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,92,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,98.48,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,84,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,96.88,2023-01-01
2023-01-05,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,98.28,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-05,"Emergency","Room Based Capacity",85.71,NA,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,94.12,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,98.68,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,98.21,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,91.89,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,97.96,2023-01-01
2023-01-05,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-05,"Transitional","Bed Based Capacity",NA,82.05,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",91.67,NA,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",97.62,NA,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,94.29,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,95.45,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",92,NA,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,98.92,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,98.04,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,93.33,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",92.52,NA,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,96.23,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,96.97,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,84,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,98.25,2023-01-01
2023-01-06,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,96.67,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,94.12,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,96.43,2023-01-01
